"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2021","14,265.0","14,345.0","14,350.5","14,260.0","0.23K","-0.72%"
"08/30/2021","14,368.0","14,405.0","14,410.0","14,359.5","0.19K","-0.33%"
"08/29/2021","14,415.0","14,425.0","14,447.5","14,412.5","0.15K","0.00%"
"08/28/2021","14,415.0","14,425.0","14,447.5","14,412.5","0.15K","0.00%"
"08/27/2021","14,415.0","14,425.0","14,447.5","14,412.5","0.15K","0.00%"
"08/26/2021","14,415.0","14,425.0","14,433.5","14,408.5","0.26K","0.14%"
"08/25/2021","14,395.0","14,405.0","14,421.0","14,387.5","0.15K","0.03%"
"08/24/2021","14,390.0","14,395.0","14,407.5","14,377.5","0.19K","-0.14%"
"08/23/2021","14,410.0","14,435.0","14,438.5","14,404.0","0.18K","-0.28%"
"08/22/2021","14,450.0","14,475.0","14,485.0","14,422.5","0.23K","0.00%"
"08/21/2021","14,450.0","14,475.0","14,485.0","14,422.5","0.23K","0.00%"
"08/20/2021","14,450.0","14,475.0","14,485.0","14,422.5","0.23K","0.35%"
"08/19/2021","14,400.0","14,405.0","14,425.0","14,392.5","0.16K","0.21%"
"08/18/2021","14,370.0","14,387.5","14,400.0","14,372.5","0.18K","0.00%"
"08/17/2021","14,370.0","14,390.0","14,395.0","14,371.5","0.17K","0.00%"
"08/16/2021","14,370.0","14,390.0","14,395.0","14,371.5","0.17K","-0.10%"
"08/15/2021","14,385.0","14,382.5","14,395.0","14,366.0","0.08K","0.00%"
"08/14/2021","14,385.0","14,382.5","14,395.0","14,366.0","0.08K","0.00%"
"08/13/2021","14,385.0","14,382.5","14,395.0","14,366.0","0.08K","0.03%"
"08/12/2021","14,380.0","14,395.0","14,407.5","14,366.0","0.18K","0.00%"
"08/11/2021","14,380.0","14,375.0","14,402.0","14,375.0","0.17K","0.00%"
"08/10/2021","14,380.0","14,375.0","14,402.0","14,375.0","0.17K","0.14%"
"08/09/2021","14,360.0","14,370.0","14,387.5","14,357.5","0.10K","0.07%"
"08/08/2021","14,350.0","14,360.0","14,377.5","14,347.5","0.17K","0.00%"
"08/07/2021","14,350.0","14,360.0","14,377.5","14,347.5","0.17K","0.00%"
"08/06/2021","14,350.0","14,360.0","14,377.5","14,347.5","0.17K","0.07%"
"08/05/2021","14,340.0","14,330.0","14,360.0","14,321.0","0.14K","0.21%"
"08/04/2021","14,310.0","14,325.0","14,347.5","14,304.5","0.20K","-0.21%"
"08/03/2021","14,340.0","14,375.0","14,388.0","14,338.5","0.26K","-0.55%"
"08/02/2021","14,420.0","14,465.0","14,472.5","14,422.5","0.17K","-0.28%"
"08/01/2021","14,460.0","14,435.0","14,477.5","14,434.5","0.13K","0.00%"
"07/31/2021","14,460.0","14,435.0","14,477.5","14,434.5","0.13K","0.00%"
"07/30/2021","14,460.0","14,435.0","14,477.5","14,434.5","0.13K","-0.14%"
"07/29/2021","14,480.0","14,490.0","14,502.5","14,482.5","0.16K","-0.03%"
"07/28/2021","14,485.0","14,500.0","14,512.5","14,485.0","0.16K","-0.03%"
"07/27/2021","14,490.0","14,473.5","14,497.5","14,465.0","0.14K","0.07%"
"07/26/2021","14,480.0","14,510.0","14,522.5","14,470.0","0.17K","-0.07%"
"07/25/2021","14,490.0","14,500.0","14,512.5","14,488.5","0.11K","0.00%"
"07/24/2021","14,490.0","14,500.0","14,512.5","14,488.5","0.11K","0.00%"
"07/23/2021","14,490.0","14,500.0","14,512.5","14,488.5","0.11K","0.07%"
"07/22/2021","14,480.0","14,500.0","14,518.0","14,482.5","0.10K","-0.41%"
"07/21/2021","14,540.0","14,530.0","14,560.0","14,530.0","0.13K","0.17%"
"07/20/2021","14,515.0","14,512.5","14,537.5","14,505.0","0.14K","0.00%"
"07/19/2021","14,515.0","14,512.5","14,537.5","14,505.0","0.14K","0.14%"
"07/18/2021","14,495.0","14,515.0","14,542.5","14,490.0","0.10K","0.00%"
"07/17/2021","14,495.0","14,515.0","14,542.5","14,490.0","0.10K","0.00%"
"07/16/2021","14,495.0","14,515.0","14,542.5","14,490.0","0.10K","0.10%"
"07/15/2021","14,480.0","14,480.0","14,512.5","14,472.5","0.14K","0.03%"
"07/14/2021","14,475.0","14,485.0","14,502.5","14,477.5","0.18K","0.09%"
"07/13/2021","14,462.0","14,505.0","14,515.0","14,459.0","0.13K","-0.19%"
"07/12/2021","14,490.0","14,485.0","14,502.5","14,471.5","0.10K","-0.24%"
"07/11/2021","14,525.0","14,535.0","14,559.5","14,525.0","0.11K","0.00%"
"07/10/2021","14,525.0","14,535.0","14,559.5","14,525.0","0.11K","0.00%"
"07/09/2021","14,525.0","14,535.0","14,559.5","14,525.0","0.11K","0.03%"
"07/08/2021","14,520.0","14,495.0","14,557.5","14,492.5","0.13K","0.28%"
"07/07/2021","14,480.0","14,485.0","14,512.5","14,472.5","0.10K","0.10%"
"07/06/2021","14,465.0","14,475.0","14,485.0","14,456.0","0.11K","-0.08%"
"07/05/2021","14,476.0","14,487.5","14,510.0","14,470.0","0.10K","-0.37%"
"07/04/2021","14,530.0","14,515.0","14,572.5","14,515.0","0.11K","0.00%"
